Experimental pIC-50 values of inhibitor molecules against Replicase Polyprotein,,,
,,,
Sr. no. ,Molecular_SMILES,PubChem-CID,Experimental_IC-50 values (microM)
49,S(=O)(=O)([O-])C(O)[C@@H](NC(=O)[C@@H](NC(OC1(CCN(CC1)C(OC(C)(C)C)=O)Cc1ccccc1)=O)CC(C)C)C[C@@H]1CCNC1=O.[Na+],145975081,6.3000002
50,o1c(ccc1\C=C/1\C(=NN(C\1=O)c1cc(ccc1)C(O)=O)c1ccccc1)-c1ccccc1,127043644,6.4000001
51,O=C/1N(N=C(\C\1=C\c1ccc(cc1)-c1ccccc1)c1ccccc1)c1cc(ccc1)C(O)=O,127045229,6.6999998
52,Fc1ccc(N2N=C(\C(=C\c3ccc(cc3)C(O)=O)\C2=O)c2ccccc2)cc1,49870842,6.8000002
53,o1nc(C)c(CN2c3c(cc(cc3)C#N)C(=O)C2=O)c1C,44398160,7.1999998
54,O1c2c(C(=O)C(O)=C1c1cc(O)c(O)cc1)c(O)cc(O)c2,5280343,8.1000004
55,O1c2c(C(=O)C(O)=C1c1cc3OCOc3cc1)c(O)cc(OCc1cc(ccc1)C#N)c2,45271832,8.1000004
56,O1c2c(C(=O)C[C@H]1c1cc(O)c(OC)cc1)c(O)cc(O)c2,72281,8.3000002
57,O1c2c(C(=O)C=C1c1ccc(O)cc1)c(O)cc(O)c2-c1cc(ccc1O)C=1Oc2c(C(=O)C=1)c(O)cc(O)c2,5281600,8.3000002
58,O=C/1N(N=C(\C\1=C\c1ccc(cc1)C(O)=O)c1ccccc1)c1cc([N+](=O)[O-])ccc1,49870841,8.3999996
59,o1c(ccc1\C=C/1\C(=NN(C\1=O)c1ccc(cc1)C(C)(C)C)c1ccccc1)-c1ccccc1C(O)=O,127045221,8.6000004
60,S(=O)(=O)([O-])C(O)[C@@H](NC(=O)[C@@H](NC(OC1CCN(CC1)C(OCC)=O)=O)CC(C)C)C[C@@H]1CCNC1=O.[Na+],145978039,8.8000002
61,Clc1ccc(cc1)COc1cc(O)c2c(OC(=C(O)C2=O)c2cc3OCOc3cc2)c1,45271831,9.3000002
62,S(=O)(=O)(N1CCOCC1)c1cc2c(N(C)C(=O)C2=O)cc1,4614896,9.9099998
