Experimental molecular inhibitory activities against Replicase_Polyprotein,,,
,,,
Sr. no. ,Molecular_SMILES,PubChem-CID,Experimental_activities (Active-1/Inactive-0)
40,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O)NC(=O)[C@H](CC2=CC=CC3=CC=CC=C32)NC(=O)OCC4=CC=CC=C4,71544385,1
41,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C(=O)NC(C)C)NC(=O)[C@H](CC2=CC=CC3=CC=CC=C32)NC(=O)OCC4=CC=CC=C4,71544384,1
42,C1CN(CCN1C(=O)C2=CC=CO2)S(=O)(=O)C3=CC4=C(C=C3)NC(=O)C4=O,73056760,1
43,CN1C2=C(C=C(C=C2)S(=O)(=O)N3CCN(CC3)CCC4=CC=CC=C4)C(=O)C1=O,73056766,1
44,CC1CCN(CC1)S(=O)(=O)C2=CC3=C(C=C2)N(C(=O)C3=O)C,73057089,1
45,CC1CCN(CC1)S(=O)(=O)C2=CC3=C(C=C2)N(C(=O)C3=O)CC4=CC=CC=C4,73057090,1
46,CN1C2=C(C=C(C=C2)S(=O)(=O)N3CCN(CC3)C4=CC=CC=N4)C(=O)C1=O,73057087,1
47,C1COCCN1S(=O)(=O)C2=CC3=C(C=C2)N(C(=O)C3=O)CC4=CC5=CC=CC=C5C=C4,73057088,1
48,CC1CCN(CC1)S(=O)(=O)C2=CC3=C(C=C2)N(C(=O)C3=O)CC4=CC5=CC=CC=C5C=C4,73057091,1
49,CC1CC(CN(C1)S(=O)(=O)C2=CC3=C(C=C2)N(C(=O)C3=O)CC4=CC=CC=C4)C,73057388,1
50,C1CN(CCN1CC2=CC(=CC=C2)Cl)S(=O)(=O)C3=CC4=C(C=C3)NC(=O)C4=O,73056465,1
51,CC1CC(CN(C1)S(=O)(=O)C2=CC3=C(C=C2)N(C(=O)C3=O)C)C,73057092,1
52,COC1=CC(=CC(=C1OC)OC)CN2CCN(CC2)S(=O)(=O)C3=CC4=C(C=C3)NC(=O)C4=O,73056466,1
53,C1CN(CCN1CCC2=CC=CC=C2)S(=O)(=O)C3=CC4=C(C=C3)NC(=O)C4=O,73056467,1
54,CC1CCCCN1S(=O)(=O)C2=CC3=C(C=C2)NC(=O)C3=O,73056762,1
55,CN1CCN(CC1)S(=O)(=O)C2=CC3=C(C=C2)N(C(=O)C3=O)C,73056763,1
56,CC1CC(CN(C1)S(=O)(=O)C2=CC3=C(C=C2)NC(=O)C3=O)C,76320984,1
57,C1COCCN1S(=O)(=O)C2=CC3=C(C=C2)NC(=O)C3=O,8027611,1
58,C1CCN(CC1)S(=O)(=O)C2=CC3=C(C=C2)N(C(=O)C3=O)CC4=CC=CC=C4,42624533,1
59,C1CCN(CC1)S(=O)(=O)C2=CC3=C(C=C2)NC(=O)C3=O,4117383,1
60,CC1CCN(CC1)S(=O)(=O)C2=CC3=C(C=C2)NC(=O)C3=O,4117477,1
61,CN1C2=C(C=C(C=C2)S(=O)(=O)N3CCOCC3)C(=O)C1=O,4614896,1
62,C1COCCN1S(=O)(=O)C2=CC3=C(C=C2)N(C(=O)C3=O)CC4=CC=CC=C4,4378077,1
63,C1=NC(=C2C(=N1)N=C(N2)C(F)(F)F)N,3635406,1
64,CN1C=NC2=C1C=CC(=C2)NC(=O)C3=CC=C(C=C3)Cl,948801,1
65,CCCCC(CC)CN=C(N)NC(=NCCCCCCN=C(N)NC(=NCC(CC)CCCC)N)N.Cl.Cl,102678,1
66,C1N(CC[N+](C1)(C/C=C/C2=CC=CC=C2)C/C=C/C3=CC=CC=C3)C(C4=CC=CC=C4)C5=CC=CC=C5,46784066,1
67,COC1=CC=C(C=C1)C(=O)CN2C3=CC=CC=C3N=C2NCCO,2849659,1
68,C1=CC(=CN=C1)CNC(=S)SCC2=C(SC(=C2)Cl)Cl,2806068,1
69,C1CN(CCN1CC2=CSC=C2)C(=O)C3=CC(=CN=C3)Br,9180583,1
70,C[C@@H](C(=O)NCC1=CC=CC=C1OC)NS(=O)(=O)C2=CC=CC=C2,2219105,1
71,CN(CC(=O)NC1CCCC1)S(=O)(=O)C2=CC(=CC=C2)Cl,4788586,1
72,COCCOCCN1C2=CC=CC=C2N=C1CCCO,2947583,1
73,COC1=CC=C(C=C1)N(CC(=O)NCC2=CC=CO2)S(=O)(=O)C,647122,1
74,C1=CC(=CC(=C1)NS(=O)(=O)C2=C(C=CC(=C2)N)F)C(F)(F)F,4236803,1
75,CC(C)(C)C1=CC=C(C=C1)N2C(=O)/C(=C\C3=CC=C(O3)C4=C(C=CC(=C4)Cl)C(=O)O)/C(=N2)C5=CC=CC=C5,127043642,1
