Experimental pIC-50 values of inhibitor molecules against angiotensin converting enzymes (ACE),,,
,,,
Sr. no. ,Molecular_SMILES,PubChem-CID,Experimental_IC-50 values (microM)
44,O(CC)C(=O)[C@@H](N[C@H](C(=O)N1[C@@H]2[C@H](C[C@H]1C(O)=O)CCCC2)C)CCC,107807,0.0015
45,O=C1N(C(=O)[C@@H](N[C@@H](CCCCCCCC)C(O)=O)C)[C@@H](CN1C)C(O)=O,13456366,0.0016
46,O=C1N(c2c(CCC1NC(CCc1ccccc1)C(O)=O)cccc2)CC(O)=O,10475845,0.001698
47,O=C1N(C(=O)[C@@H](N[C@@H](CCc2ccccc2)C(O)=O)C)[C@@H](CN1C)C(O)=O,5464344,0.0017
48,O=C1N(C(=O)[C@@H](N[C@@H](CCc2ccccc2)C(O)=O)C)[C@@H](CN1Cc1ccccc1)C(O)=O,13456344,0.0017
49,O=C1N(c2c(CC[C@@H]1N[C@@H](CCc1ccccc1)C(OCC)=O)cccc2)CC(O)=O,5362124,0.0017
50,S(C)[C@H]1C[C@H](N(C1)C(=O)[C@@H](OP(O)(=O)CCCCc1ccccc1)CCCCN)C(O)=O,14630757,0.001905
51,S1CC(N2C1CCCC(NC(CCc1ccccc1)C(O)=O)C2=O)C(O)=O,13241661,0.001995
52,O=C1N(CCCCC[C@@H]1N[C@@H](CCc1ccccc1)C(O)=O)CC(O)=O,54311655,0.002
53,O=C1N(C(=O)[C@@H](N[C@@H](CCCCCCCC)C(O)=O)CC)[C@@H](CN1Cc1ccccc1)C(O)=O,13456394,0.0021
54,O=C1N(C(=O)[C@@H](N[C@@H](CC(C)C)C(O)=O)C)[C@@H](CN1Cc1ccccc1)C(O)=O,13456380,0.0021
55,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](NC(CCc1ccccc1)C(O)=O)CCCN,44316851,0.002188
56,OC(=O)[C@H]1N(CC2C1CCCC2)C(=O)[C@@H](NC(CCc1ccccc1)C(O)=O)C,44316862,0.002188
57,O=C1N(C(=O)[C@@H](N[C@@H](CCc2ccccc2)C(O)=O)CC)[C@@H](CN1Cc1ccccc1)C(O)=O,13456404,0.0023
58,S(Cc1ccccc1C)[C@@H]1N(C(=O)[C@@H](CS)C)[C@@H](CC1)C(O)=O,44586856,0.0023
59,O=C1N(C(=O)[C@@H](N[C@@H](CCCCCCCC)C(O)=O)CC)[C@@H](CN1C)C(O)=O,13456399,0.0024
60,S(Cc1ccccc1)[C@@H]1N(C(=O)[C@@H](CS)C)[C@@H](CC1)C(O)=O,44586759,0.0024
61,S(C)C1(SC)C[C@H](N(C1)C(=O)[C@@H](OP(O)(=O)CCCCc1ccccc1)CCCCN)C(O)=O,14630761,0.00257
62,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](NC(CCC(C)C)C(O)=O)C,44317220,0.00257
63,O(C)c1cc2C[C@H](N(Cc2cc1OC)C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(OCC)=O)C)C(O)=O,91270,0.0026
64,OC(=O)[C@H]1N(Cc2c(C1)cccc2)C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(O)=O)C,107994,0.0028
65,Oc1ccc(cc1)CCC(N[C@H](C(=O)N1CCC[C@H]1C(O)=O)C)C(O)=O,44317244,0.002818
66,S=C(\N=C/1\c2c(N(CC(O)=O)C\1=O)cccc2)NCc1cc2c(cc1O)cccc2,145949765,0.002846
67,O(Cc1ccccc1)C(=O)NCCCC(N[C@H](C(=O)N1CCC[C@H]1C(O)=O)C)C(O)=O,44316798,0.002884
68,OC(=O)[C@H]1N(CCC1)C(=O)[C@@H](NC(C(O)=O)C1N(CCC1)C(=O)c1ccccc1)C,44316769,0.002884
69,OC(=O)C1N(CCC1)C(=O)C(NC(C(O)=O)C1N(CCC1)C(=O)c1ccccc1)C,44358418,0.0029
70,S(Cc1ccccc1)C[C@H](N[C@H]1CCc2c(N(CC(O)=O)C1=O)cccc2)C(O)=O,13500765,0.0029
