Experimental pIC-50 values of molecules towards SARS-COV-2 clinical trials,,,
,,,
Sr. no. ,Molecular_SMILES,PubChem-CID,Experimental_IC-50 values (microM)
13,[H]O[C@]1([H])C(=C([H])[C@@]2([H])C(=O)O[C@@]3([H])C([H])([H])[C@]([H])(O[C@]4(O[C@]([H])(C([H])(C([H])([H])[H])C([H])([H])[H])[C@@]([H])(C([H])([H])[H])C([H])([H])C4([H])[H])C3([H])[H])C([H])([H])\C([H])=C(C([H])([H])[H])\[C@@]([H])(O[C@]3([H])O[C@@]([H])(C([H])([H])[H])[C@]([H])(O[C@]4([H])O[C@@]([H])(C([H])([H])[H])[C@]([H])(O[H])[C@@]([H])(OC([H])([H])[H])C4([H])[H])[C@@]([H])(OC([H])([H])[H])C3([H])[H])[C@]([H])(\C([H])=C(/[H])\C(\[H])=C3/C([H])([H])O[C@@]1([H])[C@]23O[H])C([H])([H])[H])C([H])([H])[H].[H]O[C@]1([H])C(=C([H])[C@@]2([H])C(=O)O[C@@]3([H])C([H])([H])[C@]([H])(O[C@]4(O[C@]([H])(C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])[C@@]([H])(C([H])([H])[H])C([H])([H])C4([H])[H])C3([H])[H])C([H])([H])\C([H])=C(C([H])([H])[H])\[C@@]([H])(O[C@]3([H])O[C@@]([H])(C([H])([H])[H])[C@]([H])(O[C@]4([H])O[C@@]([H])(C([H])([H])[H])[C@]([H])(O[H])[C@@]([H])(OC([H])([H])[H])C4([H])[H])[C@@]([H])(OC([H])([H])[H])C3([H])[H])[C@]([H])(\C([H])=C(/[H])\C(\[H])=C3/C([H])([H])O[C@@]1([H])[C@]23O[H])C([H])([H])[H])C([H])([H])[H],9812710,0.0001
14,[H]OC([H])([H])C(=O)[C@@]1(O[H])[C@]([H])(C([H])([H])[H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])=C([H])[C@]4(C([H])([H])[H])[C@@]3(F)[C@@]([H])(O[H])C([H])([H])[C@]12C([H])([H])[H],5743,0.0001
15,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=C(C(=O)N([H])C2=O)C([H])([H])[H])C([H])([H])[C@]1([H])N=[N+]=[N-],35370,0.0001
16,[H]N([H])[C@@]1([H])C([H])([H])N(C2=NC3=C(N2C([H])([H])C#CC([H])([H])[H])C(=O)N(C(=O)N3C([H])([H])[H])C([H])([H])C2=NC3=C([H])C([H])=C([H])C([H])=C3C(=N2)C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H],10096344,0.0001
17,[H]N([H])C1=C2C(=NC([H])=N1)N(N=C2C1=C([H])C([H])=C(OC2=C([H])C([H])=C([H])C([H])=C2[H])C([H])=C1[H])[C@@]1([H])C([H])([H])N(C(=O)C([H])=C([H])[H])C([H])([H])C([H])([H])C1([H])[H],24821094,0.0001
18,[H]OC([H])([H])C(=O)[C@@]12OC([H])(O[C@]1([H])C([H])([H])[C@@]1([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])=C([H])[C@]4(C([H])([H])[H])[C@@]3([H])[C@@]([H])(O[H])C([H])([H])[C@]21C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],5281004,0.00012
19,[H]N1C([H])=C([H])C2=C(N=C([H])N=C12)C1=C([H])N(N=C1[H])C([H])(C([H])([H])C#N)C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],25126798,0.00012
20,[H]O[C@@]1([H])[C@@]([H])(O[C@]([H])(C(=O)N([H])C([H])([H])[H])[C@@]1([H])O[H])N1C([H])=NC2=C(N=C([H])N=C12)N([H])C([H])([H])C1=C([H])C(I)=C([H])C([H])=C1[H],123683,0.00013
21,[H]N([H])C1=NC(=NC2=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C([H])=C12)N1C([H])([H])C([H])([H])N(C(=O)C2=C([H])C([H])=C([H])O2)C([H])([H])C1([H])[H],4893,0.0001622
22,[H]N(C(=O)C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H])C1=C([H])C(N([H])C2=NC([H])=C([H])C(=N2)C2=C([H])N=C([H])C([H])=C2[H])=C(C([H])=C1[H])C([H])([H])[H],5291,0.0001995
23,[H]OC(=O)C1=C2N(C(OC([H])([H])C([H])([H])[H])=NC2=C([H])C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C(C([H])=C1[H])C1=C([H])C([H])=C([H])C([H])=C1C1=NN([H])N=N1,2541,0.0002
24,[H]N(C(=O)C1([H])C([H])([H])C([H])([H])C(F)(F)C([H])([H])C1([H])[H])C([H])(C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C([H])([H])N1[C@@]2([H])C([H])([H])C([H])([H])[C@]1([H])C([H])([H])C([H])(N1C(=NN=C1C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C2([H])[H],3002977,0.0002
25,[H]C1=C2C([H])([H])C([H])([H])[C@@]3([H])[C@]4([H])C([H])([H])C([H])([H])[C@]([H])(C(=O)C([H])([H])[H])[C@@]4(C([H])([H])[H])C([H])([H])C([H])([H])[C@]3([H])[C@@]2(C([H])([H])[H])C([H])([H])C([H])([H])C1=O,5994,0.0002
26,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C(\[H])=C1/C([H])([H])[C@@]2([H])C([H])([H])[C@@]([H])(O[H])[C@]([H])(C(\[H])=C(/[H])C([H])(O[H])C([H])(C([H])([H])[H])C([H])([H])C#CC([H])([H])[H])[C@@]2([H])C1([H])[H],5311181,0.0002
27,[H]OC1=C2O[C@@]3([H])C(=O)C([H])([H])C([H])([H])[C@@]4(O[H])[C@]5([H])N(C([H])([H])C6([H])C([H])([H])C6([H])[H])C([H])([H])C([H])([H])[C@]34C2=C(C([H])=C1[H])C5([H])[H],5360515,0.0002
28,[H]C1=C([H])C(=C([H])C(OC([H])([H])[H])=C1OC([H])([H])[H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C(C#N)(C1=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C([H])=C1[H])C([H])(C([H])([H])[H])C([H])([H])[H],2520,0.00025
29,[H]OC([H])(C1=C([H])C(=NC2=C1C([H])=C([H])C([H])=C2C(F)(F)F)C(F)(F)F)C1([H])N([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],4046,0.00031
30,[H]OC([H])([H])C1=C(Cl)N=C(N1C([H])([H])C1=C([H])C([H])=C(C([H])=C1[H])C1=C([H])C([H])=C([H])C([H])=C1C1=NN([H])N=N1)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],3961,0.00033
31,[H]OC(=O)C1=C([H])C([H])=C([H])C([H])=C1C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])N1C2=C(N=C1C([H])([H])C([H])([H])C([H])([H])[H])C(=C([H])C(=C2[H])C1=NC2=C([H])C([H])=C([H])C([H])=C2N1C([H])([H])[H])C([H])([H])[H],65999,0.00033
32,[H]N1C([H])=C([H])C2=C1N=C([H])N=C2N(C([H])([H])[H])[C@@]1([H])C([H])([H])N(C(=O)C([H])([H])C#N)C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])[H],9926791,0.00035
33,[H]N(C(=O)C([H])([H])[H])[C@]1([H])C2=C([H])C(=O)C(OC([H])([H])[H])=C([H])C([H])=C2C2=C(OC([H])([H])[H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C([H])=C2C([H])([H])C1([H])[H],6167,0.00036
34,[H]OC(=O)C([H])(N([H])S(=O)(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H])C([H])=C1[H],60947,0.00037
35,[H]OC1=C(N([H])C([H])=O)C([H])=C(C([H])=C1[H])C([H])(O[H])C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C(OC([H])([H])[H])C([H])=C1[H],3410,0.0004
36,[H]OC([H])(C1=C([H])C(=NC2=C1C([H])=C([H])C([H])=C2C(F)(F)F)C(F)(F)F)[C@]1([H])N([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],40692,0.0004
37,[H]OC(=O)C([H])([H])C1(C([H])([H])SC([H])(C2=C([H])C([H])=C([H])C(\C([H])=C(/[H])C3=NC4=C(C([H])=C([H])C(Cl)=C4[H])C([H])=C3[H])=C2[H])C([H])([H])C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2C(O[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H],5281040,0.00043
38,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(C2=C([H])C(=C(Cl)C([H])=C2[H])C([H])([H])C2=C([H])C([H])=C(OC([H])([H])C([H])([H])[H])C([H])=C2[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],9887712,0.00049
39,[H]N(C1=NC([H])=NC2=C1N([H])C([H])=N2)C([H])(C1=C([H])C2=C(C(Cl)=C([H])C([H])=C2[H])C(=O)N1C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])[H],50905713,0.0005
40,[H]OC([H])([H])C(=O)[C@@]1(O[H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])=C([H])[C@]4(C([H])([H])[H])[C@@]3([H])[C@@]([H])(O[H])C([H])([H])[C@]12C([H])([H])[H],5755,0.000526
41,[H]OC([H])([H])C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C1=C([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C(Cl)C([H])=C1[H])C([H])([H])C1=C([H])N=C([H])C([H])=C1[H])C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)N1C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C(=O)N([H])C([H])(C(=O)N([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C(N([H])C(=O)N([H])[H])C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C(N([H])C(=O)[C@@]2([H])N([H])C(=O)N([H])C(=O)C2([H])[H])C([H])=C1[H],16136245,0.00058
42,[H]OC([H])(C([H])([H])C([H])(N([H])C(=O)C([H])(N([H])C(=O)N(C([H])([H])[H])C([H])([H])C1=C([H])SC(=N1)C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])(N([H])C(=O)OC([H])([H])C1=C([H])N=C([H])S1)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],392622,0.0006
43,[H]N(C(=O)C1=C([H])C([H])=C(Cl)S1)C([H])([H])[C@]1([H])OC(=O)N(C2=C([H])C([H])=C(C([H])=C2[H])N2C(=O)C([H])([H])OC([H])([H])C2([H])[H])C1([H])[H],9875401,0.0007
44,[H]N1C([H])=C([H])C2=C(N=C([H])N=C12)C1=C([H])N(N=C1[H])C1(C([H])([H])C#N)C([H])([H])N(C1([H])[H])S(=O)(=O)C([H])([H])C([H])([H])[H],44205240,0.0008
45,[H]OC(=O)C([H])([H])C([H])(O[H])C([H])([H])C([H])(O[H])C([H])([H])C([H])([H])N1C(=C(C(C(=O)N([H])C2=C([H])C([H])=C([H])C([H])=C2[H])=C1C([H])(C([H])([H])[H])C([H])([H])[H])C1=C([H])C([H])=C([H])C([H])=C1[H])C1=C([H])C([H])=C(F)C([H])=C1[H],60823,0.00099
46,[H]OC1=C(OC([H])([H])[H])C([H])=C(C([H])=C1OC([H])([H])[H])[C@]1([H])C2=C([H])C3=C(OC([H])([H])O3)C([H])=C2[C@@]([H])(O[C@]2([H])O[C@]3([H])C([H])([H])O[C@]([H])(O[C@@]3([H])[C@]([H])(O[H])[C@@]2([H])O[H])C([H])([H])[H])[C@@]2([H])C([H])([H])OC(=O)[C@]12[H],36462,0.001
47,[H]OC([H])(C([H])([H])C([H])(N([H])C(=O)C([H])(N1C(=O)N([H])C([H])([H])C([H])([H])C1([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])(N([H])C(=O)C([H])([H])OC1=C(C([H])=C([H])C([H])=C1C([H])([H])[H])C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],92727,0.001
48,[H]C1=C([H])C([H])=C2N(C3=C(SC2=C1[H])C([H])=C([H])C(Cl)=C3[H])C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H],2726,0.001
