Experimental pIC-50 values of molecules towards SARS-COV-2 clinical trials,,,
,,,
Sr. no. ,Molecular_SMILES,PubChem-CID,Experimental_IC-50 values (microM)
77,[H]N([H])C(=O)C(C1=C([H])C([H])=C([H])C([H])=C1[H])(C1=C([H])C([H])=C(F)C([H])=C1[H])C1=C([H])C([H])=C(F)C([H])=C1[H],216327,0.006
78,[H]OC([H])([H])C(N([H])[H])(C([H])([H])O[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],107970,0.0061
79,[H]N(C(=O)N([H])C1=C([H])C([H])=C([H])C(=C1[H])C([H])([H])N([H])C(=O)O[C@]1([H])C([H])([H])OC([H])([H])C1([H])[H])C1=C([H])C(OC([H])([H])[H])=C(C([H])=C1[H])C1=C([H])N=C([H])O1,153241,0.007
80,[H]N(C(=O)C1=C(ON=C1[H])C([H])([H])[H])C1=C([H])C([H])=C(C([H])=C1[H])C(F)(F)F,3899,0.009
81,[H]OC([H])([H])C(=O)[C@@]1(O[H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])[C@@]([H])(O[H])C([H])([H])[C@]12C([H])([H])[H],5754,0.01
82,[H]OP(=O)(O[H])O[H].[H]N1C([H])=C([H])C2=C(N=C([H])N=C12)C1=C([H])N(N=C1[H])C([H])(C([H])([H])C#N)C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],25127112,0.01
83,[H]OC(=O)C1=C([H])C([H])=C([H])C([H])=C1N([H])C([H])(C1=C([H])C(=C([H])N2C(=O)C([H])=C(N=C12)N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])[H])C([H])([H])[H],44137675,0.01
84,[H]OC(=O)C(\[H])=C(/[H])C(=O)O[H].[H]N([H])C1=C2N=C([H])N(C2=NC([H])=N1)C([H])([H])C([H])(OC([H])([H])P(=O)(OC([H])([H])OC(=O)OC([H])(C([H])([H])[H])C([H])([H])[H])OC([H])([H])OC(=O)OC([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],6398764,0.014
85,[H]N([H])C1=NC(=NN1C1=NN=C2C3=C([H])C([H])=C([H])C([H])=C3C([H])([H])C([H])([H])C([H])([H])C2=C1[H])N([H])C1=C([H])C2=C(C([H])=C1[H])C([H])([H])C([H])([H])[C@]([H])(N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])C2([H])[H],46215462,0.014
86,[H]OC([H])([H])C([H])([H])N(C1=NC2=C(N=C(N=C2N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])N(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])O[H])C(=N1)N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])C([H])([H])O[H],3108,0.015
87,[H]OC1=C([H])C2=C(C(=O)C([H])=C(O2)C2=C([H])C([H])=C([H])C([H])=C2[H])C(O[H])=C1O[H],5281605,0.015
88,[H]OC(=O)C([H])(OC1=NC(=C([H])C(=N1)C([H])([H])[H])C([H])([H])[H])C(OC([H])([H])[H])(C1=C([H])C([H])=C([H])C([H])=C1[H])C1=C([H])C([H])=C([H])C([H])=C1[H],6918493,0.0217
89,[H]OC(C(=O)N([H])C1=C([H])C(=C(C#N)C([H])=C1[H])C(F)(F)F)(C([H])([H])[H])C([H])([H])S(=O)(=O)C1=C([H])C([H])=C(F)C([H])=C1[H],2375,0.025
90,[H]C1=C([H])C([H])=C2C(OC(=C2C(=O)C2=C([H])C(I)=C(OC([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C(I)=C2[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])=C1[H],2157,0.03
91,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(N2N=C(N=C2[H])C(=O)N([H])[H])[C@]([H])(O[H])[C@]1([H])O[H],37542,0.04
92,[H]N([H])C(=O)C1=NC(F)=C([H])N([H])C1=O,492405,0.044
93,[H]OP(=O)(O[H])O[H].[H]N(C1=C2C([H])=C([H])C(Cl)=C([H])C2=NC([H])=C1[H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],83818,0.045
94,[H]C1=C([H])C2=C(S1)C([H])([H])C([H])([H])N(C2([H])[H])C([H])(C(=O)OC([H])([H])[H])C1=C([H])C([H])=C([H])C([H])=C1Cl,60606,0.05
95,[H]OS(=O)(=O)C([H])([H])[H].[H]N([H])C(=NC1=C([H])C([H])=C(C([H])=C1[H])C(=O)OC1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C(=O)OC([H])([H])C(=O)N(C([H])([H])[H])C([H])([H])[H])N([H])[H],5284360,0.0506
96,[H]C1=C([H])N2N=C(C(C(=O)C([H])(C([H])([H])[H])C([H])([H])[H])=C2C([H])=C1[H])C([H])(C([H])([H])[H])C([H])([H])[H],3671,0.054
97,[H]OC(=O)C([H])(C1=C([H])C2=C(C([H])=C1[H])C([H])=C(OC([H])([H])[H])C([H])=C2[H])C([H])([H])[H],156391,0.06
98,[H]N(C(=O)C1=C([H])C([H])=C([H])C([H])=C1OC(=O)C([H])([H])[H])C1=NC([H])=C(S1)[N+]([O-])=O,41684,0.068
99,[H]OC1=C([H])C(OP(=O)(O[H])O[H])=C(C([H])=C1C1=NN([H])C(=O)N1C1=C([H])C2=C(C([H])=C1[H])N(C([H])=C2[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],135565962,0.088
100,[H]O[C@@]1([H])[C@]([H])(O[C@]2([H])[C@@]([H])(C([H])([H])[H])[C@]([H])(O[C@]3([H])O[C@@]([H])(C([H])([H])[H])[C@]([H])(O[H])[C@@](OC([H])([H])[H])(C([H])([H])[H])C3([H])[H])[C@]([H])(C(=O)O[C@]([H])(C([H])([H])C([H])([H])[H])[C@](O[H])(C([H])([H])[H])[C@]([H])(O[H])[C@]([H])(C(=O)[C@]([H])(C([H])([H])[H])C([H])([H])[C@]2(OC([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])O[C@]([H])(C([H])([H])[H])C([H])([H])[C@]1([H])N(C([H])([H])[H])C([H])([H])[H],84029,0.09
101,[H]N1C(=NC2=C1C([H])=C(OC([H])([H])[H])C([H])=C2[H])S(=O)C([H])([H])C1=NC([H])=C(C(OC([H])([H])[H])=C1C([H])([H])[H])C([H])([H])[H],4594,0.0955
102,[H]OC(=O)C([H])(C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],3672,0.1
103,[H]N([H])C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)N([H])C1=NOC(=C1[H])C([H])([H])[H],5329,0.1
104,[H]OS(=O)(=O)C([H])([H])[H].[H]N(C(=O)C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H])C1=C([H])C(N([H])C2=NC([H])=C([H])C(=N2)C2=C([H])N=C([H])C([H])=C2[H])=C(C([H])=C1[H])C([H])([H])[H],123596,0.1
105,[H]N([H])C1=C([H])C([H])=C([H])C2=C1C([H])([H])N(C2=O)C1([H])C(=O)N([H])C(=O)C([H])([H])C1([H])[H],216326,0.1
106,[H]O[C@]1([H])[C@]([H])(O[H])[C@]([H])(O[C@@]1([H])N1C([H])=NC2=C(N=C([H])N=C12)N([H])[H])C([H])([H])OP(=O)(O[H])O[H],6083,0.1
107,[H]OC1=C([H])C([H])=C([H])C2=C1C(O[H])=C1C(=O)[C@]3(O[H])C(O[H])=C(C(=O)N([H])[H])C(=O)[C@@]([H])(N(C([H])([H])[H])C([H])([H])[H])[C@]3([H])[C@@]([H])(O[H])[C@]1([H])[C@@]2([H])C([H])([H])[H],54671203,0.12
108,[H]OC(=O)C1=C([H])N2C3=C(OC([H])([H])[C@]2([H])C([H])([H])[H])C(N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])=C(F)C([H])=C3C1=O,149096,0.125
109,[H]OC(=O)C1=C(C(=O)N([H])C2=C(F)C([H])=C(C([H])=C2[H])C2=C([H])C(OC([H])([H])[H])=C([H])C([H])=C2[H])C([H])([H])C([H])([H])C1([H])[H],9820008,0.134
110,[H]OC(=O)[C@]1([H])N2C(=O)[C@@]([H])(N([H])C(=O)C([H])(N([H])C(=O)N3C(=O)C(=O)N(C([H])([H])C([H])([H])[H])C([H])([H])C3([H])[H])C3=C([H])C([H])=C([H])C([H])=C3[H])[C@@]2([H])SC1(C([H])([H])[H])C([H])([H])[H],43672,0.166
111,[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])SC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=NC3=C(N=C([H])N=C23)N([H])[H])[C@]([H])(O[H])[C@]1([H])O[H],439155,0.18
112,Cl[H].[H]OC(=O)C1=C([H])N(C2=C(OC([H])([H])[H])C(N3C([H])([H])[C@@]4([H])N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]4([H])C3([H])[H])=C(F)C([H])=C2C1=O)C1([H])C([H])([H])C1([H])[H],101526,0.195
113,[H]ON1C(C2=C([H])C([H])=C([H])C([H])=C2[H])=C2C([H])=C(Cl)C([H])=C([H])C2=N\C(=N/C([H])([H])[H])C1([H])[H],2712,0.2
114,[H]OC1=C(OC([H])([H])[H])C([H])=C(\C([H])=C(/[H])C(=O)C([H])([H])C(=O)C(\[H])=C(/[H])C2=C([H])C(OC([H])([H])[H])=C(O[H])C([H])=C2[H])C([H])=C1[H],969516,0.2
115,[H]OC(=O)[C@@]1([H])N(C(=O)[C@@]2([H])N(C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)[C@@]3([H])N(C(=O)C([H])(N([H])C(=O)[C@@]4([H])N(C(=O)C([H])(N([H])C(=O)[C@@]5([H])N([H])C(=O)C([H])([H])C5([H])[H])C([H])([H])C5=C([H])N([H])C6=C([H])C([H])=C([H])C([H])=C56)C([H])([H])C([H])([H])C4([H])[H])C([H])([H])C([H])([H])C([H])([H])N=C(N([H])[H])N([H])[H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])([H])C(=O)N([H])[H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C1([H])[H],443376,0.22
116,[H]OC(=O)C([H])(N([H])[H])C([H])([H])C1=C([H])C([H])=C(C([H])=C1[H])N(C([H])([H])C([H])([H])Cl)C([H])([H])C([H])([H])Cl,460612,0.22
117,[H]C1=C([H])C2=C([H])C([H])=C1OC1=C(OC([H])([H])[H])C([H])=C([H])C(=C1[H])C([H])([H])[C@]1([H])N(C([H])([H])[H])C([H])([H])C([H])([H])C3=C([H])C(OC([H])([H])[H])=C(OC([H])([H])[H])C(OC4=C(OC([H])([H])[H])C([H])=C5C(=C4[H])[C@@]([H])(N(C([H])([H])[H])C([H])([H])C5([H])[H])C2([H])[H])=C13,73078,0.257
118,[H]OC(=O)C1=C(C([H])([H])SC2=NC(=O)C(=O)N([H])N2C([H])([H])[H])C([H])([H])S[C@@]2([H])N1C(=O)[C@@]2([H])N([H])C(=O)C(=N/OC([H])([H])[H])\C1=C([H])SC(=N1)N([H])[H],5479530,0.29
119,[H]N(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C1=C([H])N([H])C2=C1C([H])=C(F)C([H])=C2[H],699127,0.295
120,[H]OC(=O)C1=C([H])N(C2=C(OC([H])([H])[H])C(N3C([H])([H])[C@@]4([H])N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]4([H])C3([H])[H])=C(F)C([H])=C2C1=O)C1([H])C([H])([H])C1([H])[H],152946,0.3
121,[Br-].[H]C1=C([H])C(OC(=O)N(C([H])([H])[H])C([H])([H])[H])=C([H])[N+](=C1[H])C([H])([H])[H],7550,0.35
122,[H]N1C(=O)C([H])([H])C([H])([H])C([H])(N2C(=O)C3=C([H])C([H])=C([H])C([H])=C3C2=O)C1=O,5426,0.37
123,[H]OP(=O)(O[H])C([H])([H])OC([H])(C([H])([H])[H])C([H])([H])N1C([H])=NC2=C(N=C([H])N=C12)N([H])[H],464205,0.38
124,[H]OC(=O)C([H])([H])C([H])([H])C([H])(N([H])C(=O)C1=C([H])C([H])=C(N([H])C([H])([H])C2=C([H])N=C3N=C(N([H])[H])N([H])C(=O)C3=N2)C([H])=C1[H])C(=O)O[H],135398658,0.5
125,[H]N([H])C([H])([H])C([H])([H])O\N=C(\C1=C([H])C([H])=C(C([H])=C1[H])C(F)(F)F)C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC([H])([H])[H],5324346,0.54
126,[H]N(C([H])([H])[H])C1(C(=O)C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C1=C([H])C([H])=C([H])C([H])=C1Cl,3821,0.61
127,[H]OC(=O)C1=C([H])C2=C([H])C([H])=C([H])C([H])=C2N1[H],72899,0.745
128,[H]OC([H])([H])C([H])(N([H])C(=O)C([H])(N([H])C(=O)OC([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[C@@]1([H])C(=O)N([H])C([H])([H])C1([H])[H],78225172,0.82
129,[H]OC1=C(Br)C([H])=C2N(C(=C(C(=O)OC([H])([H])C([H])([H])[H])C2=C1C([H])([H])N(C([H])([H])[H])C([H])([H])[H])C([H])([H])SC1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])[H],131411,1
130,[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])C([H])(N([H])[H])C([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=NC3=C(N=C([H])N=C23)N([H])[H])[C@]([H])(O[H])[C@]1([H])O[H],65482,1
131,[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])\N=C(\N([H])[H])C([H])([H])[H],11957582,1.6
132,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(O[H])[C@]([H])(N([H])C(=O)C([H])([H])[H])[C@@]([H])(O[H])[C@]1([H])O[H],24139,1.99526
133,[H]O[C@]1([H])C([H])([H])\C(=C(/[H])\C(\[H])=C2/C([H])([H])C([H])([H])C([H])([H])[C@@]3(C([H])([H])[H])[C@@]2([H])C([H])([H])C([H])([H])[C@]3([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C(=C([H])[H])C([H])([H])C1([H])[H],5280795,2.1
134,[H]OC1=C([H])C([H])=C(N([H])C(=O)C([H])([H])[H])C([H])=C1[H],1983,2.3
135,[H]OC(=O)C1([H])C([H])([H])C([H])([H])C([H])(C([H])([H])N([H])[H])C([H])([H])C1([H])[H],5526,3.1
136,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C(=O)N(O[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C(=O)N(O[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H],2973,3.4
137,[H]OC(=O)C([H])([H])C(O[H])(C(=O)O[H])C([H])([H])C(=O)O[H],311,3.545
138,[H]OC1=C(C([H])=C([H])C([H])=C1C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],4943,3.95
139,[H]OS(=O)(=O)C([H])([H])[H].[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C(=O)N(O[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C(=O)N(O[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H],62881,4.5338
140,[H]OC([H])(C(=O)N([H])[H])C([H])(N([H])C(=O)[C@@]1([H])N(C(=O)C([H])(N([H])C(=O)N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[C@@]2([H])[C@]1([H])C2(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C1([H])[H],71316139,4.58
