Experimental inhibitory activities against 3CLpro,,,
,,,
Sr. no. ,Molecular_SMILES,PubChem-CID,Experimental_activities (Active-1/Inactive-0)
77,FC(F)(F)c1cc(NC(=O)C(CC)c2ccccc2)ccc1,2890716,1
78,ClCC(=O)Nc1sc(C)c(C)c1C(=O)c1ccccc1,615593,1
79,Cl.S(C(N)=N)c1c2c(nc(C)c1CC=C)c(ccc2)C,16682428,1
80,ClCC(=O)N1N=C(CC1c1sccc1)c1oc(cc1)C,4961648,1
81,S(=O)(=O)(Nc1cc(F)ccc1F)c1c2nonc2ccc1,6465235,1
82,S=C(N\N=C\c1ccc(cc1)C12CC3CC(C1)CC(C2)C3)N,9585555,1
83,Clc1ccc(cc1)COC(=O)Nc1snc(SC)n1,5302421,1
84,Brc1ccc(cc1)C(=O)Cn1nnc2c1cccc2,761840,1
85,o1c2nc(c3CCCCc3c2c(N)c1C(OCC)=O)CC(C)C,1864299,1
86,O1CCN(CC1)CCN1c2c(cc(cc2)C)C(NC(=O)C)C1=O,17580184,1
87,O=[N+]([O-])c1ccc(N2CCN(CC2)C2CCC(CC2)CC)cc1,2845421,1
88,Clc1ccc(cc1[N+](=O)[O-])\C=C\C(=O)NCc1cccnc1,799395,1
89,Fc1ccc(cc1)\C=C(/C(O)=O)\c1ccc(cc1)-c1ccccc1,2333509,1
90,ClCC(=O)N1N=C(CC1c1ccc(cc1)C)c1sccc1,4437603,1
91,S=C(Nc1ccccc1[N+](=O)[O-])NC(=O)c1cn(nc1)CC,4220289,1
92,Clc1cc(N2C(=O)CCC2=O)c(OC(=O)c2occc2)cc1,930620,1
93,O(CC(C)=C)c1cc(O)c(cc1)-c1n[nH]c(C)c1-c1ccccc1,664943,1
94,Clc1ccc(cc1)C(=O)Nc1scc(n1)-c1sccc1,930290,1
95,ClCC(=O)Nc1sc(cc1C(=O)c1ccc(cc1)C)CC,859639,1
96,o1cnc(C(=O)Nc2cc3OCCOc3cc2)c1-c1ccccc1,2815848,1
97,O=C(Nc1n[nH]c(c1)-c1ccc(cc1)C)c1ccccc1[N+](=O)[O-],3152897,1
98,o1nc(c2c1NC1=C(C2c2ccc(cc2)C)C(=O)CC(C1)(C)C)C,4181547,1
99,O=C(c1ccc(cc1)C)c1n([n+]([O-])c2c1cccc2)CCC(=O)N,24817254,1
100,O1c2c(OCC1CN1c3c(cc(OC)cc3)C(=O)C1=O)cccc2,17583883,1
101,NC=1N(C(C(C#N)(C#N)C=1C#N)c1ccccc1)c1cc(ccc1)C,660907,1
102,ClCC(=O)Nc1cn(nc1-c1ccc(cc1)C)-c1ccccc1,2104090,1
103,O1CCCOc2c1cc(cc2)C(=O)Nc1ccccc1C(OC)=O,2814665,1
104,s1c2c(CCC2)c(C#N)c1NC(=S)NC(=O)c1ccccc1,738894,1
105,O=C1NC(=O)NC(=O)C12C1N(CCN(C1)C)c1c(C2)cc(N)cc1,16745830,1
106,S(CC(=O)Nc1cc2c(cc1)C(=O)NC2=O)c1ccc(F)cc1,7254819,1
107,O1c2cc(OC(=O)CCNC(OC(C)(C)C)=O)ccc2C=CC1=O,657485,1
108,O=C1Nc2c(cccc2)C(=C1)C(=O)N1CCN(CC1)c1ccccc1,2083510,1
109,S(CC(=O)C(C)(C)C)c1nnc(n1CC)COc1ccccc1,665102,1
110,O1c2c(cccc2)C(=O)C=C1C(=O)N1CCN(CC1)c1ccccc1,2078229,1
111,S(=O)(=O)(N)c1ccc(Nc2c3nonc3c([N+](=O)[O-])cc2)cc1,3128209,1
112,o1c(Nc2ccc(OC)cc2)c(nc1COc1ccc(cc1)C)C#N,4377849,1
113,s1c2c(CCCCC2)c(C#N)c1NC(=S)NC(=O)C(C)(C)C,3592691,1
114,Clc1cc(Cl)ccc1CN1C=CSC1=NC(=O)CCl,2412504,1
115,Cl\C=C(\S(=O)(=O)c1ccc(cc1)C)/NC(=O)c1ccccc1,2134372,1
116,O1CC(N(c2c1cccc2)C(=O)\C=C\c1ccccc1)CC(OC)=O,5928454,1
